name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
Antioch University Los Angeles,California,CA,Private,4 Year,,20670,20670,20670,20670,,,,,,
Antioch University Midwest,Ohio,OH,Private,4 Year,,16210,16210,16210,16210,,,,,,
Antioch University Santa Barbara,California,CA,Private,4 Year,,22575,22575,22575,22575,,,,,,
Antioch University Seattle,Washington,WA,Private,4 Year,,27435,27435,27435,27435,,,,,,
Apex School of Theology,North Carolina,NC,Private,4 Year,,6200,6200,6200,6200,,,,,,
Appalachian Bible College,West Virginia,WV,Private,4 Year,7960,14720,22680,14720,22680,,,,,,
Appalachian State University,North Carolina,NC,Public,4 Year,8304,7214,15518,22021,30325,15,North-Carolina,46600,82700,47,9
Aquinas College,Michigan,MI,Private,4 Year,9332,32574,41906,32574,41906,,,,,,
Aquinas College,Tennessee,TN,Private,4 Year,,23600,23600,23600,23600,,,,,,
Arapahoe Community College,Colorado,CO,Public,2 Year,,4811,4811,18671,18671,,,,,,
Arcadia University,Pennsylvania,PA,Private,4 Year,13800,43580,57380,43580,57380,,,,,,
Arizona Christian University,Arizona,AZ,Private,4 Year,10674,26796,37470,26796,37470,5,Arizona,42600,76600,,7
Arizona State University,Arizona,AZ,Public,4 Year,12648,10822,23470,28336,40984,,,,,,
Arizona Western College,Arizona,AZ,Public,2 Year,6700,2520,9220,9510,16210,,,,,,
Arkansas Baptist College,Arkansas,AR,Private,4 Year,8826,8760,17586,8760,17586,,,,,,
Arkansas Northeastern College,Arkansas,AR,Public,2 Year,,2450,2450,4250,4250,,,,,,
Arkansas State University,Arkansas,AR,Public,4 Year,8160,8608,16768,15298,23458,,,,,,
Arkansas State University Mid-South,Arkansas,AR,Public,2 Year,,3274,3274,5014,5014,,,,,,
Arkansas State University: Beebe,Arkansas,AR,Public,2 Year,5280,3600,8880,5760,11040,,,,,,
Arkansas State University: Mountain Home,Arkansas,AR,Public,2 Year,,3570,3570,5580,5580,,,,,,
Arkansas State University: Newport,Arkansas,AR,Public,2 Year,,3480,3480,5310,5310,,,,,,
Arkansas Tech University,Arkansas,AR,Public,4 Year,7870,9068,16938,15848,23718,13,Arkansas,45000,76900,54,7
Arlington Baptist University,Texas,TX,Private,4 Year,6500,13190,19690,13190,19690,,,,,,
Armstrong State University,Georgia,GA,Public,4 Year,11385,6384,17769,19866,31251,16,Georgia,46600,81500,60,10
Art Academy of Cincinnati,Ohio,OH,Private,4 Year,6700,33889,40589,33889,40589,,,,,,
Art Center College of Design,California,CA,Private,4 Year,,43416,43416,43416,43416,,,,,,
Art Institute of Houston,Texas,TX,For Profit,4 Year,9600,24024,33624,24024,33624,,,,,,
Art Institute of Philadelphia,Pennsylvania,PA,For Profit,4 Year,,14850,14850,14850,14850,,,,,,
Art Institute of Phoenix,Arizona,AZ,For Profit,4 Year,10928,21645,32573,21645,32573,,,,,,
Art Institute of Pittsburgh,Pennsylvania,PA,For Profit,4 Year,2758,23376,26134,23376,26134,,,,,,
ASA College,New York,NY,For Profit,2 Year,9500,14065,23565,14065,23565,,,,,,
Asbury University,Kentucky,KY,Private,4 Year,7160,30198,37358,30198,37358,20,Kentucky,39400,70800,59,4
Asheville-Buncombe Technical Community College,North Carolina,NC,Public,2 Year,,2354,2354,8114,8114,,,,,,
Ashford University,California,CA,For Profit,4 Year,,12160,12160,12160,12160,,,,,,
